20221016-110006:8,0.0
20221016-110007:8,0.0
20221016-110008:8,0.0
20221016-110009:8,0.0
20221016-110010:8,0.0
20221016-110011:8,0.0
20221016-110012:8,0.0
20221016-110013:8,0.0
20221016-110014:8,0.0
20221016-110015:8,0.0
20221016-110016:8,0.0
20221016-110017:8,0.0
20221016-110018:8,0.0
20221016-110019:8,0.0
20221016-110020:8,87.5
20221016-110021:8,0.0
20221016-110022:8,0.0
20221016-110023:8,0.0
20221016-110024:8,0.0
20221016-110025:8,0.0
20221016-110026:8,0.0
20221016-110027:8,0.0
20221016-110028:8,0.0
20221016-110029:8,0.0
